id,name,email,age,hashed_password,games_won,best_time,games_loss,max_score
1,juan,juan@example.com,12,$2b$12$yGuPHNonl.6JgneFjSvfpe0C8Hp5WeoFwkqI.bYoDFWN/mbrD3Hdi,0,,0,0
2,juan,pedro@example.com,12,$2b$12$43uEnShxtM9GRBoZDchmcOxK6lYXrWQeHWhoPS0g4o5ZfWEZ9Skgy,2,100,0,500
3,Ana,ana@example.com,15,$2b$12$yGuPHNonl.6JgneFjSvfpe0C8Hp5WeoFwkqI.bYoDFWN/mbrD3Hdi,5,89,2,750
4,Carlos,carlos@example.com,17,$2b$12$43uEnShxtM9GRBoZDchmcOxK6lYXrWQeHWhoPS0g4o5ZfWEZ9Skgy,12,76,8,920
5,Maria,maria@example.com,14,$2b$12$kL8mN9pQrS1tU2vW3xY4zABC5dEfG6hI7jK8lM9nO0pQ1rS2tU3v,3,112,5,630
6,Pedro,pedro2@example.com,16,$2b$12$vW3xY4zABC5dEfG6hI7jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEf,8,94,3,850
7,Lucia,lucia@example.com,13,$2b$12$ABC5dEfG6hI7jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9j,15,67,12,1100
8,Diego,diego@example.com,17,$2b$12$dEfG6hI7jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0l,6,103,4,780
9,Sofia,sofia@example.com,12,$2b$12$fG6hI7jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1,20,58,15,1250
10,Miguel,miguel@example.com,15,$2b$12$hI7jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2,2,134,8,420
11,Isabella,isabella@example.com,16,$2b$12$jK8lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3,9,87,6,890
12,Alex,alex@example.com,14,$2b$12$lM9nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4,11,79,9,960
13,Valentina,valentina@example.com,17,$2b$12$nO0pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5,7,98,5,810
14,Sebastian,sebastian@example.com,13,$2b$12$pQ1rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6,14,72,11,1050
15,Camila,camila@example.com,15,$2b$12$rS2tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7,4,108,7,690
16,Nicolas,nicolas@example.com,12,$2b$12$tU3vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8,18,61,14,1180
17,Fernanda,fernanda@example.com,16,$2b$12$vW4x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9,1,145,3,380
18,Mateo,mateo@example.com,17,$2b$12$x5Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0,13,74,10,1020
19,Gabriela,gabriela@example.com,14,$2b$12$Y6zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1,10,82,8,930
20,Leonardo,leonardo@example.com,15,$2b$12$zABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2,16,65,13,1140
21,Antonella,antonella@example.com,13,$2b$12$ABC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2y,0,,1,0
22,Santiago,santiago@example.com,16,$2b$12$BC7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3,22,54,18,1320
23,Valeria,valeria@example.com,12,$2b$12$C7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3z,5,95,6,770
24,Emilio,emilio@example.com,17,$2b$12$7dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4,8,88,7,860
25,Regina,regina@example.com,14,$2b$12$dEfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B,19,59,16,1200
26,Joaquin,joaquin@example.com,15,$2b$12$EfG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5,3,117,4,620
27,Martina,martina@example.com,13,$2b$12$fG8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C,12,77,9,990
28,Rodrigo,rodrigo@example.com,16,$2b$12$G8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6,7,91,5,820
29,Alejandra,alejandra@example.com,17,$2b$12$8hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D,25,51,20,1400
30,Tomas,tomas@example.com,12,$2b$12$hI9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7,1,139,2,410
31,Paulina,paulina@example.com,15,$2b$12$I9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E,15,69,12,1080
32,Maximiliano,maximiliano@example.com,14,$2b$12$9jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8,6,104,8,760
33,Constanza,constanza@example.com,16,$2b$12$jK0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F,21,56,17,1290
34,Andres,andres@example.com,13,$2b$12$K0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9,9,84,7,880
35,Renata,renata@example.com,17,$2b$12$0lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G,4,110,6,710
36,Facundo,facundo@example.com,15,$2b$12$lM1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0,17,64,14,1160
37,Daniela,daniela@example.com,12,$2b$12$M1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H,0,,0,0
38,Bruno,bruno@example.com,16,$2b$12$1nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1,11,81,10,940
39,Catalina,catalina@example.com,14,$2b$12$nN2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I,8,92,9,840
40,Ignacio,ignacio@example.com,17,$2b$12$N2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2,23,53,19,1350
41,Amanda,amanda@example.com,13,$2b$12$2oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J,13,75,11,1030
42,Julian,julian@example.com,15,$2b$12$oO3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3,2,128,5,480
43,Esperanza,esperanza@example.com,16,$2b$12$O3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K,18,62,15,1170
44,Gabriel,gabriel@example.com,12,$2b$12$3pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4,6,99,7,790
45,Victoria,victoria@example.com,17,$2b$12$pP4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L,14,71,12,1070
46,Ricardo,ricardo@example.com,14,$2b$12$P4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L5,10,85,8,910
47,Agustina,agustina@example.com,15,$2b$12$4qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L5M,24,50,21,1420
48,Patricio,patricio@example.com,13,$2b$12$qQ5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L5M6,1,142,3,390
49,Florencia,florencia@example.com,16,$2b$12$Q5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L5M6N,16,66,13,1130
50,Esteban,esteban@example.com,17,$2b$12$5rR6sS7tT8uU9vV0wW1xX2yY3zA4B5C6D7E8F9G0H1I2J3K4L5M6N7,7,96,6,800
